Woche;Produkt;Bestelleingang [hl];Auslieferung [hl];Bestellausgang [hl];Liefereingang [hl];Lager [hl];Fehlmengen [hl]
1;Total;3305;3305;2321;3305;1984;0
2;Total;3245;3245;3245;3206;1945;0
3;Total;3281;3281;3500;2321;985;0
4;Total;3190;3190;3300;3245;1040;0
5;Total;3184;3184;3200;3500;1356;0
6;Total;3318;3318;3500;3300;1338;0
7;Total;3464;3464;4000;3200;1074;0
8;Total;3575;3575;3700;3500;999;0
9;Total;3688;3688;3700;4000;1311;0
10;Total;3911;3911;4000;3700;1100;0
11;Total;4059;4059;5300;3700;741;0
12;Total;4065;3592;4500;2851;0;473
13;Total;4150;0;15000;0;0;4623
14;Total;4378;0;10000;0;0;9001
15;Total;4452;13453;5000;17728;4275;0
16;Total;4606;4606;100;15000;14669;0
17;Total;4669;4669;1000;8221;18221;0
18;Total;4706;4706;100;100;13615;0
19;Total;4716;4716;4000;1000;9899;0
20;Total;4625;4625;5000;100;5374;0
21;Total;4639;4639;2000;4000;4735;0
22;Total;4673;4673;1000;5000;5062;0
23;Total;4666;4666;5000;2000;2396;0
24;Total;4692;3396;5000;1000;0;1296
25;Total;4573;5000;5000;5000;0;869
26;Total;4560;5000;6000;5000;0;429
27;Total;4360;4789;5000;5000;211;0
28;Total;4414;4414;2000;6000;1797;0
29;Total;4382;4382;3000;5000;2415;0
30;Total;4133;4133;5000;2000;282;0
31;Total;4022;3282;5000;3000;0;740
32;Total;3818;4558;5000;5000;442;0
33;Total;3750;3750;5000;4779;1471;0
34;Total;3693;3471;5000;2000;0;222
35;Total;3703;3925;5000;4000;75;0
36;Total;3763;3763;5000;5000;1312;0
37;Total;3704;3704;3000;9221;6829;0
38;Total;3689;3689;2000;5000;8140;0
39;Total;3645;3645;5000;3000;7495;0
40;Total;3413;3413;3000;2000;6082;0
41;Total;3498;3498;2000;5000;7584;0
42;Total;3549;3549;2000;3000;7035;0
43;Total;3606;3606;3000;2000;5429;0
44;Total;3683;3683;5000;2000;3746;0
45;Total;3802;3802;5000;3000;2944;0
46;Total;3647;3647;4000;4279;3576;0
47;Total;3473;3473;5000;3500;3603;0
48;Total;3344;3344;5000;4272;4531;0
49;Total;3287;3287;1000;5000;6244;0
50;Total;3238;3238;1000;6949;9955;0
51;Total;3167;3167;1000;1000;7788;0
52;Total;3113;3113;1000;1000;5675;0
