Spielrunden;Bedarf vorjahr;-0.1 schrumpft dieses JAHR;naiver Forecast t+1;Abweichung;gleitender Mittelwert;Abweichung;exponentiell geglaettet
1;3305;3301,695;3302;;;;3302
2;3245;3241,755;3242;-57;;;3272
3;3281;3277,719;3278;39;3277;-87;3275
4;3190;3186,81;3187;-88;3239;-55;3231
5;3184;3180,816;3181;-3;3218;100;3206
6;3318;3314,682;3315;137;3231;233;3260
7;3464;3460,536;3461;149;3322;253;3360
8;3575;3571,425;3571;114;3452;236;3466
9;3688;3684,312;3684;117;3576;335;3575
10;3911;3907,089;3907;227;3725;334;3741
11;4059;4054,941;4055;152;3886;179;3898
12;4065;4060,935;4061;10;4012;138;3979
13;4150;4145,85;4146;89;4091;287;4063
14;4378;4373,622;4374;232;4198;254;4218
15;4452;4447,548;4448;78;4327;279;4333
16;4606;4601,394;4601;158;4479;190;4467
17;4669;4664,331;4664;68;4576;130;4566
18;4706;4701,294;4701;42;4660;56;4634
19;4716;4711,284;4711;15;4697;-72;4672
20;4625;4620,375;4620;-86;4682;-43;4646
21;4639;4634,361;4634;19;4660;13;4640
22;4673;4668,327;4668;39;4646;20;4654
23;4666;4661,334;4661;-2;4659;33;4658
24;4692;4687,308;4687;31;4677;-104;4673
25;4573;4568,427;4568;-114;4644;-84;4621
26;4560;4555,44;4555;-8;4608;-248;4588
27;4360;4355,64;4356;-195;4498;-84;4472
28;4414;4409,586;4410;58;4445;-63;4441
29;4382;4377,618;4378;-28;4385;-252;4409
30;4133;4128,867;4129;-245;4310;-288;4269
31;4022;4017,978;4018;-107;4179;-361;4143
32;3818;3814,182;3814;-200;3991;-241;3979
33;3750;3746,25;3746;-64;3863;-170;3863
34;3693;3689,307;3689;-53;3754;-51;3776
35;3703;3699,297;3699;14;3715;48;3738
36;3763;3759,237;3759;64;3720;-16;3748
37;3704;3700,296;3700;-55;3723;-34;3724
38;3689;3685,311;3685;-11;3719;-74;3705
39;3645;3641,355;3641;-40;3679;-266;3673
40;3413;3409,587;3410;-228;3582;-84;3541
41;3498;3494,502;3495;88;3519;30;3518
42;3549;3545,451;3545;54;3487;119;3532
43;3606;3602,394;3602;61;3551;132;3567
44;3683;3679,317;3679;81;3613;189;3623
45;3802;3798,198;3798;123;3697;-50;3711
46;3647;3643,353;3643;-151;3711;-238;3677
47;3473;3469,527;3470;-170;3641;-297;3573
48;3344;3340,656;3341;-126;3488;-201;3457
49;3287;3283,713;3284;-54;3368;-130;3370
50;3238;3234,762;3235;-46;3290;-123;3303
51;3167;3163,833;3164;-68;3231;-118;3233
52;3113;3109,887;3110;-51;3173;-3173;3172
