Tabelle1 - Kurs: MFBG422A, MFBB422A, MFBF422A, MFBI422A, MFWC422A, MFWD422A, MFWI422A, MFWS422A - 2 - Game: SCM2-SCM2-Royal - Team: ROYAL - Einzelhandel - SCM2;;;;;;;
Woche;Produkt;Bestelleingang [hl];Auslieferung [hl];Bestellausgang [hl];Liefereingang [hl];Lager [hl];Fehlmengen [hl]
;;;;;;;
1;Total;3080;3080;3100;3080;1540;0
2;Total;3180;3180;3239;3110;1470;0
3;Total;3264;3264;3239;3100;1306;0
4;Total;3320;3320;3308;3239;1225;0
5;Total;3354;3354;3500;3239;1110;0
6;Total;3426;3426;3495;3308;992;0
7;Total;3620;3620;3700;3500;872;0
8;Total;3756;3756;3800;3495;611;0
9;Total;3704;3704;3900;3700;607;0
10;Total;3830;3830;4200;3800;577;0
11;Total;3978;3978;4300;3900;499;0
12;Total;4062;4062;4083;4200;637;0
13;Total;4169;4169;4800;3974;442;0
14;Total;4380;442;5000;0;0;3938
15;Total;4728;8666;4800;9029;363;0
16;Total;4900;4900;5000;4800;263;0
17;Total;5094;5094;5300;4900;69;0
18;Total;5100;4969;5250;4900;0;131
19;Total;5099;5032;5250;5032;0;198
20;Total;5060;4645;6100;4645;0;613
21;Total;5174;4690;6100;4690;0;1097
22;Total;5100;4707;6100;4707;0;1490
23;Total;5040;4636;6000;4636;0;1894
24;Total;5014;4634;6000;4634;0;2274
25;Total;5058;4661;6000;4661;0;2671
26;Total;4810;4661;6000;4661;0;2820
27;Total;4853;7673;6000;10000;2327;0
28;Total;4774;4774;5000;6000;3553;0
29;Total;4661;4661;3500;6000;4892;0
30;Total;4443;4443;3000;9814;10263;0
31;Total;4187;4187;2000;3500;9576;0
32;Total;4190;4190;2000;3000;8386;0
33;Total;4029;4029;4066;2000;6357;0
34;Total;4053;4053;4015;2000;4304;0
35;Total;3874;3874;3962;4066;4496;0
36;Total;3931;3931;3924;4015;4580;0
37;Total;3926;3926;3888;3962;4616;0
38;Total;3838;3838;3898;3924;4702;0
39;Total;3874;3874;3880;3888;4716;0
40;Total;3924;3924;3882;3898;4690;0
41;Total;3840;3840;3910;3880;4730;0
42;Total;3936;3936;3937;3882;4676;0
43;Total;3977;3977;3984;3910;4609;0
44;Total;4008;4008;3968;3937;4538;0
45;Total;4162;4162;3860;3984;4360;0
46;Total;3760;3760;3693;3968;4568;0
47;Total;3395;3395;3000;3860;5033;0
48;Total;3142;3142;3000;3693;5584;0
49;Total;3147;3147;2500;3000;5437;0
50;Total;3110;3110;3102;3000;5327;0
51;Total;3086;3086;100;2500;4741;0
52;Total;3029;3029;100;3102;4814;0
